CRISPR list-Main	CRISPR list-Suppl in vivo	CRISPR list-Suppl ex vivo
Cebpa	Cebpa	Cebpa
Smarcd2	Smarcd2	Smarcd2
Kmt2d	Smarcd1	Smarcd1
Wdr82	Brd9	Brd9
Chd4	Gltscr1	Gltscr1
Rbbp4	Phf10	Phf10
Hdac3	Kmt2a	Bcl11a
Rcor1	Men1	Kmt2a
Stag2	Kmt2d	Men1
Prmt5	Kdm6a	Kmt2d
Wdr82	Crebbp	Kdm6a
	Chd4	Crebbp
	Rbbp4	Chd4
	Mbd2	Rbbp4
	Mbd3	Mbd2
	Hdac3	Mbd3
	Rcor1	Hdac3
	Hdac1	Rcor1
	Smc3	Hdac1
	Stag2	Smc3
	Smc2	Stag2
	Prmt5	Smc2
	Prmt1	Prmt5
	Carm1	Prmt1
	Setdb1	Carm1
	Setdb2	Setdb1
	Cbx3	Setdb2
	Wdr82	Cbx3
	Hmgxb4	Wdr82
	Chmp2a	Hmgxb4
	Ehmt1	Chmp2a
	Ehmt2	Ehmt1
	Ash1l	Ehmt2
	Ezh2	Ash1l
	Spi1	Ezh2
	Gata2	Spi1
		Gata2