Name	NewName	Color	Type
HSC	LSK	#598527	HSC
LSC	LSC	#611B9F	HSC
GMP (early)	Early GMP	#91E0DA	Mye
GMP	GMP	#6DB7E0	Mye
GMP (late)	Late GMP	#5693B5	Mye
Gran. P	Gran Prog.	#4371A4	Mye
Gran.	Gran	#283477	Mye
Mono	Mono	#1AA79D	Mye
MEP (early)	Early MEP	#F49DB1	Ery
MEP	Ery Prog.	#CF536D	Ery
MEP (pert.)	Ery Pert.	#884654	Ery
Ery	Ery	#BB122F	Ery
MEP (S)	Ery (S)	#600505	Ery
MEP (G1)	Ery (G1)	#CF536D	Ery
MkP	MkP	#C488D7	Mega
EBMP	EBMP	#B3773E	Baso
Eo/Ba	Eo/Ba	#E09649	Baso
CLP	CLP	#878874	Lymphoid
Imm. B-cell	Imm. B-cell 	#57584C	Lymphoid
B-cell	B-cell	#333232	Lymphoid
novel	novel	#ffff50	novel